trial_index,mode,correct,ReactionTime
1,go,0,0.0
2,go,1,0.010025501251220703
3,go,1,0.0
4,go,0,0.0
5,go,1,0.0
6,go,1,0.0
7,go,0,0.0
8,go,1,0.009919881820678711
9,go,1,0.0
10,go,0,0.0
11,go,1,0.010225772857666016
12,go,1,0.009563684463500977
13,go,0,0.0
14,go,0,0.0
15,go,1,0.0
16,go,1,0.009601593017578125
17,go,0,0.0
18,go,1,0.04004669189453125
19,go,1,0.0
20,go,1,0.04009866714477539
21,go,0,0.0
22,go,1,0.009999513626098633
23,go,0,0.0
24,go,1,0.05068397521972656
25,go,1,0.009765863418579102
26,go,1,0.0
27,go,0,0.0
28,go,1,0.0
29,go,0,0.0
30,go,1,0.009759902954101562
31,go,0,0.0
32,go,1,0.009422779083251953
33,go,1,0.009933948516845703
34,go,1,0.0
35,go,0,0.0
36,go,1,0.00981450080871582
37,go,1,0.010455608367919922
38,go,1,0.009644508361816406
39,go,1,0.010006904602050781
40,go,1,0.010005474090576172
41,go,1,0.0
42,go,1,0.0
43,go,1,0.0
44,go,1,0.0
45,go,1,0.0
46,go,1,0.0
47,go,1,0.05015063285827637
48,go,1,0.010079145431518555
49,go,1,0.009920358657836914
50,go,1,0.0
51,go,1,0.0
52,go,1,0.010050296783447266
53,go,1,0.0
54,go,1,0.0
55,go,1,0.009919881820678711
56,go,1,0.009582281112670898
57,go,1,0.009920120239257812
58,go,1,0.009990215301513672
59,go,1,0.0
60,go,1,0.06051921844482422
61,go,1,0.0
62,go,1,0.010089397430419922
63,go,1,0.0
64,go,1,0.0
65,go,1,0.0
66,go,1,0.010005474090576172
67,go,1,0.010437250137329102
68,go,1,0.0
69,go,1,0.0
70,go,1,0.0
71,go,0,0.0
72,go,1,0.010078668594360352
73,go,1,0.0
74,go,1,0.0
75,go,1,0.0
76,go,1,0.0
77,go,0,0.0
78,go,1,0.009920597076416016
79,go,1,0.0
80,go,1,0.009983301162719727
81,go,1,0.0
82,go,1,0.009754657745361328
83,go,1,0.05968594551086426
84,go,1,0.009971141815185547
85,go,1,0.0
86,go,1,0.00992584228515625
87,go,1,0.0
88,go,0,0.0
89,go,1,0.009634971618652344
90,go,1,0.0
91,go,1,0.010004043579101562
92,go,1,0.019495725631713867
93,go,0,0.0
94,go,1,0.00980067253112793
95,go,0,0.0
96,go,1,0.009723186492919922
97,go,1,0.010001659393310547
98,go,1,0.009919166564941406
99,go,1,0.0
100,go,0,0.0
101,go,1,0.010244607925415039
102,go,1,0.00994563102722168
103,go,1,0.010025501251220703
104,go,1,0.0
105,go,1,0.0
106,go,0,0.0
107,go,1,0.0
108,go,1,0.009664297103881836
109,go,1,0.009976863861083984
110,go,1,0.0
111,go,1,0.010182857513427734
112,go,1,0.0
113,go,1,0.06999063491821289
114,go,1,0.0
115,go,1,0.0
116,go,1,0.010116815567016602
117,go,1,0.0
118,go,1,0.0
119,go,1,0.010085344314575195
120,go,1,0.011002063751220703
121,go,1,0.0
122,go,0,0.0
123,go,1,0.0
124,go,1,0.0
125,go,1,0.0
126,go,1,0.010135889053344727
127,go,0,0.0
128,go,1,0.009603738784790039
129,go,1,0.0
130,no-go,0,1757441492.8496525
131,no-go,0,1757441494.6601226
132,no-go,0,1757441496.2805252
133,no-go,0,-1.0
134,no-go,0,-1.0
135,go,0,0.0
136,go,1,0.010105133056640625
137,go,1,0.010180950164794922
138,go,1,0.0
139,go,1,0.010441303253173828
140,go,1,0.0
141,go,1,0.009482145309448242
142,go,1,0.009653329849243164
143,go,1,0.05036282539367676
144,go,1,0.009650945663452148
145,go,1,0.0
146,go,1,0.010042190551757812
147,go,0,0.0
148,go,1,0.010338544845581055
149,go,1,0.0
150,go,1,0.0
151,go,1,0.0
152,go,1,0.009984970092773438
153,go,1,0.010097503662109375
154,go,1,0.0
155,go,1,0.010042905807495117
156,go,1,0.009939432144165039
157,go,1,0.009896993637084961
158,go,1,0.010107278823852539
159,go,1,0.009653568267822266
160,go,1,0.05984926223754883
161,go,1,0.009708404541015625
162,go,1,0.0
163,go,1,0.010007381439208984
164,go,0,0.0
165,go,1,0.010134458541870117
166,go,1,0.010692358016967773
167,go,1,0.010184049606323242
168,go,1,0.009786367416381836
169,go,1,0.010059595108032227
170,go,1,0.00971531867980957
171,go,1,0.0
172,go,1,0.009954214096069336
173,go,1,0.0
174,go,1,0.009955167770385742
175,go,1,0.010266542434692383
176,go,1,0.010100364685058594
177,go,1,0.00982975959777832
178,go,1,0.0
179,go,0,0.0
180,go,1,0.009833812713623047
181,go,1,0.009539604187011719
182,go,1,0.0
183,go,1,0.010210514068603516
184,go,1,0.04967212677001953
185,go,1,0.009953975677490234
186,go,1,0.0
187,go,1,0.07976722717285156
188,go,1,0.009614944458007812
189,go,0,0.0
190,go,1,0.009914636611938477
191,go,1,0.0
192,go,1,0.0
193,go,1,0.009808778762817383
194,go,1,0.0
195,go,1,0.0
196,go,1,0.0
197,go,1,0.0
198,go,1,0.009814023971557617
199,go,1,0.009921550750732422
200,go,1,0.0
201,go,1,0.0
202,go,1,0.009423255920410156
203,go,1,0.00945591926574707
204,go,1,0.009682655334472656
205,go,1,0.009892463684082031
206,go,1,0.0
207,go,1,0.009893178939819336
208,go,1,0.010542869567871094
209,go,1,0.01034688949584961
210,go,1,0.0
211,go,1,0.0
212,go,1,0.009851932525634766
213,go,1,0.0
214,go,1,0.0
215,go,1,0.009450435638427734
216,go,1,0.009740352630615234
217,go,0,0.0
218,go,1,0.00971221923828125
219,go,1,0.0
220,go,0,0.0
221,go,1,0.009811878204345703
222,go,0,0.0
223,go,0,0.0
224,go,0,0.0
225,go,0,0.0
226,go,1,0.0
227,go,1,0.009945869445800781
228,go,1,0.0
229,go,1,0.0
230,go,1,0.009918928146362305
231,go,1,0.00939321517944336
232,go,0,0.0
233,go,1,0.00973820686340332
234,go,1,0.009857177734375
235,go,1,0.0
236,go,1,0.08967161178588867
237,go,1,0.0
238,go,1,0.009855270385742188
239,go,1,0.09946346282958984
240,go,1,0.01014399528503418
241,go,0,0.0
242,go,1,0.010358810424804688
243,go,1,0.009830236434936523
244,go,1,0.0
245,go,1,0.0
246,go,1,0.01002192497253418
247,go,1,0.0
248,go,0,0.0
249,go,0,0.0
250,go,0,0.0
251,go,0,-1.0
252,go,1,0.0
253,go,0,0.0
254,go,1,0.010135650634765625
255,go,1,0.010223865509033203
256,go,1,0.009998083114624023
257,go,1,0.0
258,go,1,0.07034683227539062
259,go,1,0.0
260,go,1,0.009804725646972656
261,go,1,0.00991964340209961
262,go,1,0.0
263,go,0,0.0
264,go,1,0.0
265,go,0,0.0
266,go,1,0.009422063827514648
267,go,1,0.009996414184570312
268,go,1,0.010029315948486328
269,go,1,0.0
270,go,1,0.07983565330505371
271,go,1,0.009574651718139648
272,go,1,0.0
273,go,1,0.0
274,go,1,0.0
275,go,1,0.0
276,go,0,0.0
277,go,0,0.0
278,go,1,0.010060548782348633
279,go,1,0.009920597076416016
280,go,1,0.010072946548461914
281,go,1,0.009855508804321289
282,go,1,0.0
283,go,1,0.0
284,go,1,0.010013341903686523
285,go,1,0.01008152961730957
286,go,1,0.009854316711425781
287,go,1,0.009846210479736328
288,go,1,0.0
289,go,1,0.009494543075561523
290,go,1,0.0
291,go,1,0.0
292,go,1,0.002479076385498047
293,go,1,0.0
294,go,1,0.010777711868286133
295,go,0,0.0
296,go,1,0.0
297,go,1,0.00980234146118164
298,go,1,0.0
299,go,1,0.009834527969360352
300,go,1,0.009577274322509766
301,go,1,0.0
302,go,1,0.0
303,go,1,0.0
304,go,1,0.08956456184387207
305,go,1,0.0
306,go,1,0.0
307,go,1,0.0
308,go,0,0.0
309,go,1,0.0
310,go,1,0.010146141052246094
311,go,0,0.0
312,go,1,0.04968070983886719
313,go,1,0.009920120239257812
314,go,1,0.0
315,go,1,0.0
316,go,0,0.0
317,go,1,0.009979486465454102
318,go,1,0.0
319,go,1,0.0
320,go,0,0.0
321,go,1,0.01004934310913086
322,go,1,0.009912729263305664
323,go,1,0.020061254501342773
324,go,1,0.0
325,go,1,0.0
326,go,1,0.07013273239135742
327,go,1,0.0
328,go,1,0.0
329,go,1,0.0
330,go,0,0.0
331,go,1,0.04971003532409668
332,go,1,0.0
333,go,1,0.0
334,go,1,0.0
335,go,1,0.05053091049194336
336,go,1,0.0
337,go,1,0.0
338,go,1,0.009755373001098633
339,go,1,0.0
340,go,1,0.0
341,go,1,0.01007699966430664
342,go,0,0.0
343,go,1,0.010004997253417969
344,go,1,0.0
345,go,1,0.05994009971618652
346,go,0,0.0
347,go,0,0.0
348,go,1,0.0
349,go,0,0.0
350,go,1,0.0
351,go,1,0.009921789169311523
352,go,1,0.0
353,go,1,0.009986400604248047
354,go,1,0.010233879089355469
355,go,0,0.0
356,go,1,0.07988882064819336
357,go,1,0.00986170768737793
358,go,1,0.05997323989868164
359,go,0,0.0
360,go,1,0.009586095809936523
361,go,1,0.009961128234863281
362,go,0,0.0
363,go,1,0.009972810745239258
364,go,1,0.00991368293762207
365,go,0,0.0
366,go,1,0.0
367,go,1,0.0
368,go,1,0.009842634201049805
369,go,1,0.0
370,go,1,0.00892949104309082
371,go,1,0.009999513626098633
372,go,0,0.0
373,go,1,0.00991511344909668
374,go,1,0.009917974472045898
375,go,1,0.010124683380126953
376,go,1,0.010025262832641602
377,go,1,0.06966447830200195
378,go,0,0.0
379,go,1,0.0
380,go,1,0.010458230972290039
381,go,1,0.01000070571899414
382,go,1,0.010305404663085938
383,go,1,0.010375022888183594
384,go,1,0.040129661560058594
385,go,1,0.0
386,go,1,0.009920358657836914
387,go,1,0.0
388,go,1,0.010020971298217773
389,go,1,0.0
390,go,0,0.0
391,go,1,0.0
