trial_index,mode,correct,reaction_time
1,noise,0,140.235
2,noise,0,104.576
3,noise,1,-1.0
4,noise,0,130.202
5,noise,1,-1.0
6,noise,1,-1.0
7,noise,1,-1.0
8,noise,1,-1.0
9,go,1,-1.0
10,go,0,-1.0
11,go,1,230.25
12,go,0,-1.0
13,go,1,270.875
14,go,1,229.19
15,go,1,369.858
16,go,1,386.01
17,noise,1,302.177
18,noise,1,-1.0
19,noise,1,-1.0
20,noise,1,-1.0
21,noise,0,149.592
22,noise,1,-1.0
23,noise,1,-1.0
24,noise,1,-1.0
25,noise,1,-1.0
26,go,1,-1.0
27,go,0,-1.0
28,go,0,-1.0
29,go,0,-1.0
30,go,0,-1.0
31,go,0,-1.0
32,go,0,-1.0
33,noise+go,0,97.028
34,noise+go,0,-1.0
35,noise+go,0,100.574
36,noise+go,0,-1.0
