trial_index,speed,coherence,direction,side,saccade_rt,saccade_latency,correct,saccade_x,saccade_y,stim_x,stim_y
1,0.25,0.77,90,left,261.5528106689453,-1,0,-1,-1,-400.3013333333333,0.0
2,0.1,0.33,270,left,414.73388671875,-1,0,-1,-1,-400.3013333333333,0.0
3,0.1,0.77,270,left,256.0708522796631,-1,0,-1,-1,-400.3013333333333,0.0
4,0.25,0.77,270,left,273.0839252471924,-1,0,-1,-1,-400.3013333333333,0.0
5,0.25,0.77,270,left,232.24616050720215,-1,0,-1,-1,-400.3013333333333,0.0
6,0.1,1.0,270,left,278.8681983947754,-1,0,-1,-1,-400.3013333333333,0.0
7,0.1,0.33,270,left,-1.0,-1,0,-1,-1,-400.3013333333333,0.0
8,0.25,1.0,90,left,-1.0,-1,0,-1,-1,-400.3013333333333,0.0
9,0.1,0.55,90,left,-1.0,-1,0,-1,-1,-400.3013333333333,0.0
10,0.1,0.55,90,left,271.6035842895508,-1,0,-1,-1,-400.3013333333333,0.0
11,0.25,0.33,90,left,237.63537406921387,-1,0,-1,-1,-400.3013333333333,0.0
12,0.25,0.1,270,left,-1.0,-1,0,-1,-1,-400.3013333333333,0.0
13,0.1,0.55,270,left,-1.0,-1,0,-1,-1,-400.3013333333333,0.0
14,0.25,1.0,270,left,-1.0,-1,0,-1,-1,-400.3013333333333,0.0
15,0.25,0.55,90,left,-1.0,-1,0,-1,-1,-400.3013333333333,0.0
16,0.1,0.77,90,left,-1.0,-1,0,-1,-1,-400.3013333333333,0.0
17,0.25,1.0,90,left,-1.0,-1,0,-1,-1,-400.3013333333333,0.0
18,0.1,0.33,270,left,416.5329933166504,-1,0,-1,-1,-400.3013333333333,0.0
19,0.25,0.55,90,left,-1.0,-1,0,-1,-1,-400.3013333333333,0.0
20,0.25,0.33,90,left,-1.0,-1,0,-1,-1,-400.3013333333333,0.0
21,0.25,0.1,90,left,208.77504348754883,-1,0,-1,-1,-400.3013333333333,0.0
22,0.25,0.77,270,left,378.85570526123047,-1,0,-1,-1,-400.3013333333333,0.0
23,0.1,0.1,270,left,306.63204193115234,-1,0,-1,-1,-400.3013333333333,0.0
24,0.1,0.77,270,left,311.73157691955566,-1,0,-1,-1,-400.3013333333333,0.0
25,0.1,0.33,270,left,-1.0,-1,0,-1,-1,-400.3013333333333,0.0
