trial_index,speed,coherence,direction,side,saccade_rt,saccade_duration,correct,saccade_x,saccade_y,stim_x,stim_y
1,25,0.6,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
2,25,0.0,270,left,311.6793632507324,0.059848785400390625,1,-340.20001220703125,1.9000244140625,-400.3013333333333,0.0
3,25,0.6,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
4,25,0.6,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
5,25,0.35,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
6,25,0.1,270,left,340.76738357543945,0.06001925468444824,1,-400.5999755859375,32.5,-400.3013333333333,0.0
7,25,0.6,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
8,25,0.0,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
9,25,0.1,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
10,25,0.2,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
11,25,0.6,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
12,25,0.6,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
13,25,0.0,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
14,25,0.1,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
15,25,0.35,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
16,25,0.0,90,left,379.52518463134766,0.05977129936218262,1,-386.5999755859375,-3.5,-400.3013333333333,0.0
17,25,0.1,270,left,240.92864990234375,0.060297489166259766,1,-394.0999755859375,68.79998779296875,-400.3013333333333,0.0
18,25,0.6,270,left,383.9707374572754,0.06018352508544922,1,-381.20001220703125,47.399993896484375,-400.3013333333333,0.0
19,25,0.0,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
