trial_index,spatial_frequency,temporal_frequency,direction,side,saccade_rt,saccade_duration,correct,saccade_x,saccade_y,stim_x,stim_y
1,0.25,3,270,left,236.0234260559082,0.00998687744140625,1,-350.29998779296875,35.899993896484375,-400.3013333333333,0.0
2,0.25,3,270,left,225.89898109436035,0.01007986068725586,1,-362.0999755859375,8.5,-400.3013333333333,0.0
3,0.25,6,90,left,272.8400230407715,0.009697914123535156,1,-392.79998779296875,86.39999389648438,-400.3013333333333,0.0
4,0.25,6,90,left,307.83557891845703,0.009768486022949219,1,-335.70001220703125,1.70001220703125,-400.3013333333333,0.0
5,0.25,3,270,left,227.7820110321045,0.009996175765991211,1,-305.79998779296875,25.0999755859375,-400.3013333333333,0.0
6,0.25,3,270,left,238.34538459777832,0.011047601699829102,1,-338.4000244140625,6.5,-400.3013333333333,0.0
7,0.25,6,270,left,327.96549797058105,0.009901046752929688,1,-256.5999755859375,38.899993896484375,-400.3013333333333,0.0
8,0.25,3,90,left,241.0299777984619,0.010430574417114258,1,-319.5999755859375,51.399993896484375,-400.3013333333333,0.0
9,0.25,3,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
10,0.25,6,270,left,279.2971134185791,0.01005244255065918,1,-322.20001220703125,-23.70001220703125,-400.3013333333333,0.0
11,0.25,3,270,left,296.7181205749512,0.009638071060180664,1,-318.9000244140625,55.0,-400.3013333333333,0.0
12,0.25,3,270,left,206.21013641357422,0.010515928268432617,1,-337.0,8.5,-400.3013333333333,0.0
13,0.25,6,270,left,184.45611000061035,0.009960651397705078,1,-370.4000244140625,60.100006103515625,-400.3013333333333,0.0
14,0.25,3,270,left,184.84902381896973,0.009920358657836914,1,-341.5,57.600006103515625,-400.3013333333333,0.0
15,0.25,3,270,left,246.51408195495605,0.009920597076416016,1,-343.9000244140625,18.29998779296875,-400.3013333333333,0.0
16,0.25,6,90,left,385.88929176330566,0.009920120239257812,1,-195.20001220703125,37.399993896484375,-400.3013333333333,0.0
17,0.25,3,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
18,0.25,3,270,left,309.48424339294434,0.010054588317871094,1,-264.9000244140625,22.79998779296875,-400.3013333333333,0.0
19,0.25,6,270,left,285.3090763092041,0.010043144226074219,1,-361.5999755859375,16.5999755859375,-400.3013333333333,0.0
20,0.25,3,90,left,468.2445526123047,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
21,0.25,3,90,left,223.8166332244873,0.009740829467773438,1,-294.20001220703125,16.70001220703125,-400.3013333333333,0.0
22,0.25,3,270,left,268.82219314575195,0.010327339172363281,1,-282.70001220703125,51.20001220703125,-400.3013333333333,0.0
23,0.25,3,270,left,125.0302791595459,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
24,0.25,6,90,left,425.7242679595947,0.010233640670776367,1,-356.70001220703125,44.79998779296875,-400.3013333333333,0.0
25,0.25,6,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
26,0.25,3,270,left,239.90368843078613,0.00996541976928711,1,-298.4000244140625,24.4000244140625,-400.3013333333333,0.0
