trial_index,trial_start_time,trial_start_tracker_time,speed,coherence,direction,saccade_rt,saccade_duration,correct,saccade_x,saccade_y,saccade_start_x,saccade_start_y,stim_x,stim_y,fix_onset,fix_onset_tracker,stim_onset,stim_onset_tracker,stim_offset,stim_offset_tracker,saccade_onset,saccade_onset_tracker,fix_x,fix_y
1,1758918134.9945607,267958215.0,16,0.1,270,231.2631607055664,0.005816936492919922,1,-198.4000244140625,132.39999389648438,-53.9000244140625,-53.5,-200.15066666666664,160.12053333333333,1758918135.3581553,267958793.0,1758918136.2458255,267959466.0,1758918136.4914749,267959712.0,1758918136.4770887,267959698.0,0,0
2,1758918138.5650072,267961783.0,16,0.0,90,218.60313415527344,0.005431652069091797,1,-187.4000244140625,164.29998779296875,-137.0,-96.29998779296875,-200.15066666666664,160.12053333333333,1758918138.780972,267962217.0,1758918139.6073349,267962828.0,1758918139.8360348,267963055.0,1758918139.825938,267963045.0,0,0
3,1758918141.8616416,267965082.0,16,0.0,270,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-200.15066666666664,160.12053333333333,1758918142.8166518,267966251.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
4,1758918144.3585055,267967579.0,16,0.6,270,252.457857131958,-1.0,0,-1.0,-1.0,-118.5,75.4000244140625,-200.15066666666664,160.12053333333333,1758918148.3778565,267971805.0,1758918149.143893,267972363.0,-1.0,-1.0,1758918149.3963509,267972617.0,0,0
5,1758918150.9673805,267974188.0,16,0.1,90,220.27015686035156,0.005671024322509766,1,-210.0999755859375,143.70001220703125,-188.0999755859375,-122.70001220703125,-200.15066666666664,160.12053333333333,1758918151.3625731,267974799.0,1758918152.025194,267975246.0,1758918152.2556276,267975474.0,1758918152.245464,267975464.0,0,0
6,1758918154.3390696,267977560.0,16,0.6,270,242.60258674621582,0.00439000129699707,1,-204.0999755859375,141.20001220703125,-149.0999755859375,-93.89999389648438,-200.15066666666664,160.12053333333333,1758918154.8485465,267978288.0,1758918155.7033315,267978924.0,1758918155.9559438,267979177.0,1758918155.945934,267979167.0,0,0
7,1758918158.1658423,267981387.0,16,0.1,270,242.39492416381836,0.005305767059326172,1,-202.70001220703125,162.5,-104.29998779296875,-47.70001220703125,-200.15066666666664,160.12053333333333,1758918158.8027692,267982236.0,1758918159.3930318,267982612.0,1758918159.6453085,267982866.0,1758918159.6354268,267982857.0,0,0
8,1758918161.8098986,267985031.0,16,0.35,90,234.97772216796875,0.004469871520996094,1,-140.5999755859375,156.70001220703125,-45.70001220703125,-41.79998779296875,-200.15066666666664,160.12053333333333,1758918161.8128717,267985248.0,1758918162.5309582,267985752.0,1758918162.7756388,267985997.0,1758918162.765936,267985987.0,0,0
9,1758918165.0953476,267988316.0,16,0.1,90,224.531888961792,0.005058765411376953,1,-222.5,153.10000610351562,-146.29998779296875,-69.29998779296875,-200.15066666666664,160.12053333333333,1758918165.68688,267989111.0,1758918166.4311512,267989652.0,1758918166.6657465,267989886.0,1758918166.655683,267989876.0,0,0
10,1758918168.9659483,267992187.0,16,0.35,90,268.7363624572754,0.004403114318847656,1,-134.20001220703125,159.0,-89.70001220703125,-87.0,-200.15066666666664,160.12053333333333,1758918169.1156983,267992552.0,1758918169.5867627,267992808.0,1758918169.8654995,267993086.0,1758918169.855499,267993076.0,0,0
11,1758918172.0665252,267995287.0,16,0.1,270,215.79813957214355,0.004006862640380859,1,-196.4000244140625,166.20001220703125,-153.20001220703125,-104.79998779296875,-200.15066666666664,160.12053333333333,1758918172.4830158,267995922.0,1758918173.2095675,267996430.0,1758918173.435842,267996657.0,1758918173.4253657,267996647.0,0,0
